"affy_hg_u133_plus_2"	"hgnc_symbol"
"539"	"228528_at"	"MIR29C"
"540"	"216241_s_at"	"TCEA1"
"541"	"200943_at"	"HMGN1P3"
"542"	"229096_at"	""
"543"	"229095_s_at"	""
"544"	"236894_at"	""
"545"	"207802_at"	"CRISP3"
"546"	"227089_at"	"COG5"
"547"	"203629_s_at"	"COG5"
"548"	"203630_s_at"	"COG5"
"549"	"230666_at"	""
"550"	"1559449_a_at"	""
"551"	"240439_at"	""
"552"	"39763_at"	"HPX"
"553"	"210013_at"	"HPX"
"554"	"224185_at"	""
"555"	"244735_at"	"CCDC54"
"556"	"1560560_at"	""
"557"	"1568848_at"	""
"558"	"236688_at"	"FRMPD3"
"559"	"234684_s_at"	"KRTAP4-4"
"560"	"220284_at"	"DKKL1"
"561"	"231568_at"	"CT47A5"
"562"	"1560373_a_at"	""
"563"	"1560372_at"	""
"564"	"233344_x_at"	"WDR97"
"565"	"1561210_at"	""
"566"	"241347_at"	"RNF213"
"567"	"233880_at"	"RNF213"
"568"	"225929_s_at"	"RNF213"
"569"	"225931_s_at"	"RNF213"
"570"	"241480_at"	"RNF213"
"571"	"232155_at"	"RNF213"
"572"	"231956_at"	"RNF213"
"573"	"230000_at"	"RNF213"
"574"	"236080_at"	""
"575"	"214070_s_at"	"ATP10B"
"576"	"220920_at"	"ATP10B"
"577"	"221376_at"	"FGF17"
"578"	"202097_at"	"NUP153"
"579"	"200682_s_at"	""
"580"	"216483_s_at"	"MYDGF"
"581"	"221739_at"	"MYDGF"
"582"	"203390_s_at"	"KIF3C"
"583"	"203389_at"	"KIF3C"
"584"	"237519_at"	""
"585"	"201042_at"	"TGM2"
"586"	"211573_x_at"	"TGM2"
"587"	"211003_x_at"	"TGM2"
"588"	"216183_at"	"TGM2"
"589"	"37860_at"	"ZNF337"
"590"	"214760_at"	"ZNF337"
"591"	"204651_at"	"RNA5SP244"
"592"	"211280_s_at"	"RNA5SP244"
"593"	"239360_at"	""
"594"	"241803_s_at"	"LINC01597"
"595"	"211144_x_at"	"TRGC2"
"596"	"209813_x_at"	"TRGC2"
"597"	"215806_x_at"	"TRGC2"
"598"	"216920_s_at"	"TRGC2"
"599"	"209912_s_at"	"AP5Z1"
"600"	"209913_x_at"	"AP5Z1"
"601"	"222436_s_at"	"RNF103-CHMP3"
"602"	"236630_at"	"AQP2"
"603"	"240285_at"	"AQP2"
"604"	"206672_at"	"AQP2"
"605"	"207219_at"	"ZFP69B"
"606"	"235173_at"	"MBNL1-AS1"
"607"	"232298_at"	"MBNL1-AS1"
"608"	"1560507_at"	"AWAT1"
"609"	"1564310_a_at"	"PARP15"
"610"	"1553380_at"	"PARP15"
"611"	"1560255_at"	"CELF2-AS1"
"612"	"1560425_s_at"	"PTPRD-AS1"
"613"	"219815_at"	"GAL3ST4"
"614"	"1555659_a_at"	"TREML1"
"615"	"1561360_at"	""
"616"	"205313_at"	"HNF1B"
"617"	"208135_at"	"HNF1B"
"618"	"231136_at"	"MIR30C2"
"619"	"228930_at"	""
"620"	"211587_x_at"	"CHRNA3"
"621"	"211772_x_at"	"CHRNA3"
"622"	"210221_at"	"CHRNA3"
"623"	"201119_s_at"	"COX8A"
"624"	"206922_at"	"VCY1B"
"625"	"222145_at"	""
"626"	"81737_at"	""
"627"	"1560241_at"	""
"628"	"237754_at"	""
"629"	"224362_at"	""
"630"	"212284_x_at"	"SNORA31"
"631"	"1566647_s_at"	"LINC01225"
"632"	"232976_at"	"SNORD116-21"
"633"	"1553566_at"	"PIANP"
"634"	"228165_at"	"PIANP"
"635"	"212508_at"	"MOAP1"
"636"	"202926_at"	"NBAS"
"637"	"242049_s_at"	"NBAS"
"638"	"240579_at"	"NBAS"
"639"	"243262_at"	""
"640"	"227349_at"	""
"641"	"227790_at"	"UBE3D"
"642"	"233327_at"	"UBE3D"
"643"	"1569262_x_at"	"UBE3D"
"644"	"208729_x_at"	"HLA-B"
"645"	"209140_x_at"	"HLA-B"
"646"	"226476_s_at"	"VPRBP"
"647"	"204376_at"	"VPRBP"
"648"	"204377_s_at"	"VPRBP"
"649"	"226477_at"	"VPRBP"
"650"	"226481_at"	"VPRBP"
"651"	"225046_at"	""
"652"	"225062_at"	""
"653"	"231394_at"	""
"654"	"217753_s_at"	"RPS26P3"
"655"	"214444_s_at"	"PVR"
"656"	"32699_s_at"	"PVR"
"657"	"216283_s_at"	"PVR"
"658"	"212662_at"	"PVR"
"659"	"214443_at"	"PVR"
"660"	"1556582_at"	"PVR"
"661"	"206707_x_at"	""
"662"	"224789_at"	"DCAF12"
"663"	"231070_at"	"IYD"
"664"	"220771_at"	""
"665"	"236728_at"	"LNPEP"
"666"	"225176_at"	"LNPEP"
"667"	"207904_s_at"	"LNPEP"
"668"	"243532_at"	"LNPEP"
"669"	"231866_at"	"LNPEP"
"670"	"201164_s_at"	"PUM1"
"671"	"201166_s_at"	"PUM1"
"672"	"201165_s_at"	"PUM1"
"673"	"1560812_at"	""
"674"	"212687_at"	"LIMS3L"
"675"	"223800_s_at"	"LIMS3L"
"676"	"1554516_at"	"RNA5SP284"
"677"	"1554517_x_at"	"RNA5SP284"
"678"	"240830_at"	""
"679"	"217451_at"	""
"680"	"227615_at"	"SRRD"
"681"	"213608_s_at"	"SRRD"
"682"	"206595_at"	"CST6"
"683"	"231248_at"	"CST6"
"684"	"1565867_a_at"	"ZBED6"
"685"	"243648_at"	"ZBED6"
"686"	"242123_at"	"PAQR7"
"687"	"242361_at"	""
"688"	"235812_at"	"CNEP1R1"
"689"	"236130_at"	"SNORA37"
"690"	"1562979_at"	""
"691"	"219614_s_at"	"SLC6A20"
"692"	"234291_s_at"	"SLC6A20"
"693"	"234724_x_at"	"PCDHB18P"
"694"	"241602_at"	"ZNF582"
"695"	"223853_at"	"BVES"
"696"	"228783_at"	"BVES"
"697"	"202981_x_at"	"SIAH1"
"698"	"202980_s_at"	"SIAH1"
"699"	"232365_at"	"SIAH1"
"700"	"219784_at"	""
"701"	"219785_s_at"	""
"702"	"209310_s_at"	"CASP4"
"703"	"213596_at"	"CASP4"
"704"	"210469_at"	"DLG5"
"705"	"201681_s_at"	"DLG5"
"706"	"237461_at"	"NLRP7"
"707"	"1563802_at"	"LINC01226"
"708"	"AFFX-M27830_M_at"	""
"709"	"217520_x_at"	"PDCD6IPP2"
"710"	"222947_at"	""
"711"	"232549_at"	"RBM11"
"712"	"210304_at"	"PDE6B"
"713"	"227610_at"	"TSPAN11"
"714"	"1563876_at"	"C1orf220"
"715"	"AFFX-HSAC07/X00351_3_at"	""
"716"	"200801_x_at"	""
"717"	"213867_x_at"	""
"718"	"224594_x_at"	""
"719"	"AFFX-HSAC07/X00351_M_at"	""
"720"	"1557531_a_at"	"C10orf55"
"721"	"238654_at"	"VSIG10L"
"722"	"212329_at"	"SCAP"
"723"	"45297_at"	"EHD2"
"724"	"205341_at"	"EHD2"
"725"	"221870_at"	"EHD2"
"726"	"200874_s_at"	"SNORA51"
"727"	"202048_s_at"	"CBX6"
"728"	"202047_s_at"	"CBX6"
"729"	"211702_s_at"	"USP32"
"730"	"244871_s_at"	"USP32"
"731"	"237431_at"	"USP32"
